#,Title,Scope,Type,Reason,Status,Origin,ROM,Prime Totals,Commitment Totals,RFQs,Commitment COs,Prime PCOs
143,Install Treated OSB at Balconies,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$4,913.00 ",$0.00 ,"$4,913.00 ",,1,
142,Progress Cleaning,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$2,641.00 ",$0.00 ,"$2,641.00 ",,1,
141,Intumescent Painting at LL beam,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$1,640.00 ",$0.00 ,"$1,640.00 ",,1,
140,Additional Floro Prep,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$1,830.10 ",$0.00 ,$0.00 ,,,
139,Install Lintel Plate Garage,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$1,430.00 ",$0.00 ,"$1,430.00 ",,1,
138,Additional Flooring Prep,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$1,272.90 ",$0.00 ,"$1,272.90 ",,1,
137,Credit for Storefronts,Out of Scope,FP Contingency/Buyout,Fp construction,Open,,$0.00 ,$0.00 ,$0.00 ,,,
136,"Contingency: Additional 24"" Grab Bars",Out of Scope,Owner Contingency,Owner request,Closed,,$0.00 ,$0.00 ,$938.00 ,,1,PCO #CONT-025
135,Added FE Cabinet and Extinguisher,Out of Scope,FP Contingency/Buyout,Fp construction,Closed,,$625.00 ,$0.00 ,$625.00 ,,1,
134,Contingency Use: Thickend Slab at Community Room Patio,Out of Scope,Owner Contingency,Arch/eng,Closed,,$0.00 ,$0.00 ,"$4,295.00 ",,1,PCO #CONT-024
133,Attic Stock Grab bars,Out of Scope,Owner Contingency,Owner request,Void,,$0.00 ,$0.00 ,$0.00 ,,,
132,L2 Roof Membrane Repairs,In Scope,FP Contingency/Buyout,Fp construction,Closed,,$0.00 ,$0.00 ,"$2,329.13 ",,3,
131,Contingency: ASI 013,Out of Scope,Owner Contingency,Arch/eng,Closed,,$0.00 ,$0.00 ,"$4,965.44 ",,1,PCO #CONT-023
130,Change the swing at the unit Corner Cabinets,Out of Scope,Owner Contingency,Owner request,Open,,$0.00 ,$0.00 ,$0.00 ,,,
129,Access Panel Supply,In Scope,FP Contingency/Buyout,Fp construction,Closed,,$533.05 ,$0.00 ,$533.05 ,,1,
128,Contingency Use: Winter Conditions ,Out of Scope,Owner Contingency,Winter conditions,Closed,,$0.00 ,$0.00 ,"$1,762.50 ",,1,PCO #CONT-022
127,Gypcrete Remobilize ,In Scope,FP Contingency/Buyout,Fp construction,Void,,$0.00 ,$0.00 ,$0.00 ,,,
126,WDP-1 Supply,In Scope,Original Budget,Fp construction,Closed,,"$4,500.00 ",$0.00 ,"$4,500.00 ",,1,
125,Install Pergolas,In Scope,Original Budget,Fp construction,Closed,,"$9,600.00 ",$0.00 ,"$9,600.00 ",,1,
124,Additional Framing Work,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$12,038.00 ",$0.00 ,"$12,038.00 ",,1,
123,Corner Guards,In Scope,FP Contingency/Buyout,Fp construction,Closed,,$503.10 ,$0.00 ,$503.10 ,,1,
